,GROUP,CONCEPT,NAME,NAME_USED,MAJOR_GROUP,TERR_GROUP,MAJOR_ORDER,SPECIES_NAME,NEW_GROUP,NEW_GROUP_2,bad_sp
1,Ants,NA,FORMICA aquilonia,FORMICA aquilonia,INSECTS,TERR_INC,HYMENOPTERA,FORMICA aquilonia,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
2,Ants,NA,FORMICA cunicularia,FORMICA cunicularia,INSECTS,TERR_INC,HYMENOPTERA,FORMICA cunicularia,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
3,Ants,NA,FORMICA exsecta,FORMICA exsecta,INSECTS,TERR_INC,HYMENOPTERA,FORMICA exsecta,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
4,Ants,NA,FORMICA fusca,FORMICA fusca,INSECTS,TERR_INC,HYMENOPTERA,FORMICA fusca,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
5,Ants,NA,FORMICA lemani,FORMICA lemani,INSECTS,TERR_INC,HYMENOPTERA,FORMICA lemani,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
6,Ants,NA,FORMICA lugubris,FORMICA lugubris,INSECTS,TERR_INC,HYMENOPTERA,FORMICA lugubris,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
7,Ants,NA,FORMICA picea,FORMICA picea,INSECTS,TERR_INC,HYMENOPTERA,FORMICA picea,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
8,Ants,NA,FORMICA pratensis,FORMICA pratensis,INSECTS,TERR_INC,HYMENOPTERA,FORMICA pratensis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
9,Ants,NA,FORMICA rufa,FORMICA rufa,INSECTS,TERR_INC,HYMENOPTERA,FORMICA rufa,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
10,Ants,NA,FORMICA rufibarbis,FORMICA rufibarbis,INSECTS,TERR_INC,HYMENOPTERA,FORMICA rufibarbis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
11,Ants,NA,FORMICA sanguinea,FORMICA sanguinea,INSECTS,TERR_INC,HYMENOPTERA,FORMICA sanguinea,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12,Ants,NA,FORMICOXENUS nitidulus,FORMICOXENUS nitidulus,INSECTS,TERR_INC,HYMENOPTERA,FORMICOXENUS nitidulus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
13,Ants,NA,Hypoponera punctatissima agg,Hypoponera punctatissima agg,INSECTS,TERR_INC,HYMENOPTERA,Hypoponera punctatissima agg,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
14,Ants,NA,LASIUS alienus s.l.,LASIUS alienus s.l.,INSECTS,TERR_INC,HYMENOPTERA,LASIUS alienus s.l.,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
15,Ants,NA,LASIUS alienus s.s.,LASIUS alienus s.s.,INSECTS,TERR_INC,HYMENOPTERA,LASIUS alienus s.s.,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
16,Ants,NA,LASIUS brunneus,LASIUS brunneus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS brunneus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
17,Ants,NA,LASIUS emarginatus,LASIUS emarginatus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS emarginatus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
18,Ants,NA,LASIUS flavus,LASIUS flavus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS flavus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
19,Ants,NA,LASIUS fuliginosus,LASIUS fuliginosus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS fuliginosus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
20,Ants,NA,LASIUS meridionalis,LASIUS meridionalis,INSECTS,TERR_INC,HYMENOPTERA,LASIUS meridionalis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
21,Ants,NA,LASIUS mixtus,LASIUS mixtus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS mixtus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
22,Ants,NA,LASIUS neglectus,LASIUS neglectus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS neglectus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
23,Ants,NA,LASIUS niger s.l.,LASIUS niger s.l.,INSECTS,TERR_INC,HYMENOPTERA,LASIUS niger s.l.,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
24,Ants,NA,LASIUS niger s.s.,LASIUS niger s.s.,INSECTS,TERR_INC,HYMENOPTERA,LASIUS niger s.s.,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
25,Ants,NA,LASIUS platythorax,LASIUS platythorax,INSECTS,TERR_INC,HYMENOPTERA,LASIUS platythorax,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
26,Ants,NA,LASIUS psammophilus,LASIUS psammophilus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS psammophilus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,yes
27,Ants,NA,LASIUS sabularum,LASIUS sabularum,INSECTS,TERR_INC,HYMENOPTERA,LASIUS sabularum,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
28,Ants,NA,LASIUS umbratus,LASIUS umbratus,INSECTS,TERR_INC,HYMENOPTERA,LASIUS umbratus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
29,Ants,NA,LEPTOTHORAX acervorum,LEPTOTHORAX acervorum,INSECTS,TERR_INC,HYMENOPTERA,LEPTOTHORAX acervorum,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
