"Group","Species","N_Years","First_Year","Last_Year","N_Records","Mean_growth_rate","Lower_CI","Upper_CI","Precision"
"Ants","Formica aquilonia",34,1981,2014,94,-0.9826,-4.08879223606659,1.53980373781368,0.470349720906885
"Ants","Formica cunicularia",46,1970,2015,785,-2.0789,-3.95183602128068,-0.173747467246924,1.07252040456562
"Ants","Formica fusca",44,1972,2015,1804,1.9242,0.0291527652215939,4.20574879340529,0.889718279280345
"Ants","Formica lemani",44,1972,2015,450,-0.9619,-2.12810452826686,0.256322402399744,2.62672213938105
"Ants","Formica lugubris",40,1975,2014,168,1.1413,-0.631229627176423,3.26540458723973,0.976929940191045
"Ants","Formica picea",26,1989,2014,50,5.9787,-0.744594295575681,13.5147906323648,0.0763523679204974
"Ants","Formica rufa",46,1970,2015,965,-0.8661,-1.96271001856174,0.0904311459399309,3.50879838631414
"Ants","Formica sanguinea",46,1970,2015,485,-0.5058,-2.32842969729079,1.21499276585278,1.17252169513326
"Ants","Formicoxenus nitidulus",31,1981,2011,92,1.4609,-4.37654709825806,7.93766020199927,0.0975098148912242
"Ants","Lasius brunneus",45,1971,2015,373,4.8245,1.44219035005804,8.84353356100223,0.282964013345537
"Ants","Lasius flavus",46,1970,2015,2045,0.2912,-0.446896042936172,1.25583654445261,5.22545350882509
"Ants","Lasius fuliginosus",45,1971,2015,483,0.9808,-1.03064045133041,3.20803479364465,0.898006487382199
"Ants","Lasius meridionalis",39,1977,2015,69,1.492,-2.17090111451808,6.20175314694299,0.231712353355661
"Ants","Lasius mixtus",44,1972,2015,83,-2.523,-5.59660988842806,0.408001133247932,0.443420156936126
"Ants","Lasius umbratus",46,1970,2015,98,-0.1683,-1.91768258680303,2.06700373342637,1.09774170015842
"Ants","Leptothorax acervorum",46,1970,2015,579,-0.0968,-1.75942130531033,1.54400959495793,1.32112564763956
"Ants","Myrmecina graminicola",46,1970,2015,227,-1.8004,-4.6833878775104,1.42294369961255,0.438919093558753
"Ants","Myrmica lobicornis",39,1977,2015,101,2.5256,-1.1117988820747,6.48371021046241,0.264560851536716
"Ants","Myrmica rubra",45,1971,2015,1010,-1.007,-2.06227327042572,0.106484082976352,3.18060583847306
"Ants","Myrmica ruginodis",46,1970,2015,2412,0.4848,-0.15103035150418,1.37601777793582,6.30053808024261
"Ants","Myrmica sabuleti",44,1972,2015,963,1.6327,-0.16608535168252,3.86563465579047,0.919005402372142
"Ants","Myrmica scabrinodis",46,1970,2015,2043,1.2486,-0.0165626438532662,3.28350539239664,1.34348510365989
"Ants","Myrmica schencki",38,1978,2015,237,1.1542,-2.82449340788037,6.41801658708827,0.194844365187696
"Ants","Myrmica specioides",42,1974,2015,298,-0.5927,-3.71257667241166,2.3692435441571,0.403767215184499
"Ants","Myrmica sulcinodis",36,1974,2009,60,-3.9738,-7.26232976930823,-0.585839682457071,0.366013183369779
"Ants","Ponera coarctata",33,1979,2011,85,-0.1762,-5.94678231448917,5.2254986772765,0.139211692339224
"Ants","Temnothorax albipennis",37,1975,2011,108,0.4419,-4.06099656016907,4.96176254437533,0.207053890157427
"Ants","Temnothorax nylanderi",45,1971,2015,172,1.4179,-1.6684711423851,4.60520931301067,0.373541604751723
"Ants","Tetramorium caespitum",43,1973,2015,329,1.4179,-0.817252448128282,4.06925576138277,0.676654985736566
