,SPECIES,SPECIES_NAME,GROUP,MAJOR_ORDER
1,FORMICA aquilonia,FORMICA aquilonia,Ants,TERRESTRIAL_INSECTS
2,FORMICA cunicularia,FORMICA cunicularia,Ants,TERRESTRIAL_INSECTS
3,FORMICA fusca,FORMICA fusca,Ants,TERRESTRIAL_INSECTS
4,FORMICA lemani,FORMICA lemani,Ants,TERRESTRIAL_INSECTS
5,FORMICA lugubris,FORMICA lugubris,Ants,TERRESTRIAL_INSECTS
6,FORMICA picea,FORMICA picea,Ants,TERRESTRIAL_INSECTS
7,FORMICA rufa,FORMICA rufa,Ants,TERRESTRIAL_INSECTS
8,FORMICA sanguinea,FORMICA sanguinea,Ants,TERRESTRIAL_INSECTS
9,FORMICOXENUS nitidulus,FORMICOXENUS nitidulus,Ants,TERRESTRIAL_INSECTS
10,LASIUS brunneus,LASIUS brunneus,Ants,TERRESTRIAL_INSECTS
11,LASIUS flavus,LASIUS flavus,Ants,TERRESTRIAL_INSECTS
12,LASIUS fuliginosus,LASIUS fuliginosus,Ants,TERRESTRIAL_INSECTS
13,LASIUS meridionalis,LASIUS meridionalis,Ants,TERRESTRIAL_INSECTS
14,LASIUS mixtus,LASIUS mixtus,Ants,TERRESTRIAL_INSECTS
15,LASIUS umbratus,LASIUS umbratus,Ants,TERRESTRIAL_INSECTS
16,LEPTOTHORAX acervorum,LEPTOTHORAX acervorum,Ants,TERRESTRIAL_INSECTS
17,MYRMECINA graminicola,MYRMECINA graminicola,Ants,TERRESTRIAL_INSECTS
18,MYRMICA lobicornis,MYRMICA lobicornis,Ants,TERRESTRIAL_INSECTS
19,MYRMICA rubra,MYRMICA rubra,Ants,TERRESTRIAL_INSECTS
20,MYRMICA ruginodis,MYRMICA ruginodis,Ants,TERRESTRIAL_INSECTS
21,MYRMICA sabuleti,MYRMICA sabuleti,Ants,TERRESTRIAL_INSECTS
22,MYRMICA scabrinodis,MYRMICA scabrinodis,Ants,TERRESTRIAL_INSECTS
23,MYRMICA schencki,MYRMICA schencki,Ants,TERRESTRIAL_INSECTS
24,MYRMICA specioides,MYRMICA specioides,Ants,TERRESTRIAL_INSECTS
25,MYRMICA sulcinodis,MYRMICA sulcinodis,Ants,TERRESTRIAL_INSECTS
26,PONERA coarctata,PONERA coarctata,Ants,TERRESTRIAL_INSECTS
27,TEMNOTHORAX albipennis,TEMNOTHORAX albipennis,Ants,TERRESTRIAL_INSECTS
28,TEMNOTHORAX nylanderi,TEMNOTHORAX nylanderi,Ants,TERRESTRIAL_INSECTS
29,TETRAMORIUM caespitum,TETRAMORIUM caespitum,Ants,TERRESTRIAL_INSECTS
30,Aphelocheirus aestivalis,Aphelocheirus aestivalis,AquaticBugs,FRESHWATER_SPECIES
31,Aquarius paludum,Aquarius paludum,AquaticBugs,FRESHWATER_SPECIES
32,Arctocorisa germari,Arctocorisa germari,AquaticBugs,FRESHWATER_SPECIES
33,Callicorixa praeusta,Callicorixa praeusta,AquaticBugs,FRESHWATER_SPECIES
